,datetime,tempmin,temp,tempmax
0,2024-11-09,4.5,7.7,11.2
1,2024-11-10,2.3,8.1,12.8
2,2024-11-11,11.7,14.3,16.7
3,2024-11-12,5.5,9.9,12.1
4,2024-11-13,2.1,4.7,6.5
5,2024-11-14,3.8,5.9,7.7
6,2024-11-15,5.2,6.8,8.9
7,2024-11-16,5.0,7.3,10.0
