,datetime,description,icon
0,2024-11-09,Clear conditions throughout the day.,clear-day
1,2024-11-10,Partly cloudy throughout the day with late afternoon rain.,rain
2,2024-11-11,Clearing in the afternoon with early morning rain.,rain
3,2024-11-12,Clear conditions throughout the day.,clear-day
4,2024-11-13,Clear conditions throughout the day.,clear-day
5,2024-11-14,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-11-15,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-11-16,Partly cloudy throughout the day.,partly-cloudy-day
