,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-11-09,11.2,4.5,7.7,11.2,1.2,4.7,-6.8,35.9,0.0,0,0.0,,0,0,51.8,34.9,316.7,1022.5,14.8,16.1,71.1,6.2,5,10,2024-11-09T06:28:15,2024-11-09T16:27:30,0.25,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,KBED,KBOS"
1,"Boston, MA, United States",2024-11-10,12.8,2.3,8.1,12.8,-0.5,6.7,-1.5,51.9,0.3,62,4.17,rain,0,0,31.3,18.4,231.3,1023.2,43.3,16.1,113.2,9.6,4,10,2024-11-10T06:29:31,2024-11-10T16:26:28,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,
2,"Boston, MA, United States",2024-11-11,16.7,11.7,14.3,16.7,11.7,14.3,9.6,74.3,9.7,75,25.0,rain,0,0,37.1,24.1,243.2,1005.3,47.2,13.1,113.6,9.7,4,10,2024-11-11T06:30:46,2024-11-11T16:25:27,0.35,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,
3,"Boston, MA, United States",2024-11-12,12.1,5.5,9.9,12.1,1.8,8.7,1.0,54.8,0.0,11,0.0,,0,0,45.0,29.2,308.4,1013.4,8.0,19.9,129.0,11.1,4,10,2024-11-12T06:32:01,2024-11-12T16:24:28,0.39,Clear,Clear conditions throughout the day.,clear-day,
4,"Boston, MA, United States",2024-11-13,6.5,2.1,4.7,4.1,-1.8,1.7,-4.8,50.3,0.0,5,0.0,,0,0,30.6,17.3,14.2,1028.6,14.7,24.1,125.9,10.6,4,10,2024-11-13T06:33:16,2024-11-13T16:23:31,0.42,Clear,Clear conditions throughout the day.,clear-day,
5,"Boston, MA, United States",2024-11-14,7.7,3.8,5.9,5.5,1.5,3.6,-0.1,65.2,18.3,40,16.67,rain,0,0,22.7,13.0,57.0,1015.5,71.5,22.5,24.8,2.1,1,10,2024-11-14T06:34:31,2024-11-14T16:22:36,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2024-11-15,8.9,5.2,6.8,6.4,2.3,4.1,1.1,67.4,1.6,40,25.0,rain,0,0,28.4,16.2,327.7,1010.9,61.1,24.1,81.4,7.0,3,10,2024-11-15T06:35:46,2024-11-15T16:21:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2024-11-16,10.0,5.0,7.3,7.5,1.8,4.6,1.0,64.6,0.0,27,0.0,,0,0,30.6,18.0,313.0,1015.4,35.0,24.1,90.5,7.9,3,10,2024-11-16T06:37:00,2024-11-16T16:20:52,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
