,datetime,description,icon
0,2024-11-04,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-11-05,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-11-06,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2024-11-07,Clearing in the afternoon.,partly-cloudy-day
4,2024-11-08,Becoming cloudy in the afternoon with late afternoon rain.,rain
5,2024-11-09,Clear conditions throughout the day.,clear-day
6,2024-11-10,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-11-11,Clearing in the afternoon with early morning rain.,rain
