,datetime,tempmin,temp,tempmax
0,2024-11-04,1.9,6.7,10.0
1,2024-11-05,9.4,16.6,23.4
2,2024-11-06,16.2,21.8,27.3
3,2024-11-07,11.6,17.9,21.2
4,2024-11-08,7.1,12.3,17.9
5,2024-11-09,3.9,7.9,11.2
6,2024-11-10,0.6,7.7,13.4
7,2024-11-11,12.4,14.7,16.7
